Index,SPEED_data/david_extracted(motec),SPEED_data/david_generated(rev_eng)_auto_constant,Difference,Has_Difference
11704,66.9,66.8,-0.10000000000000853,YES
16888,150.4,150.3,-0.09999999999999432,YES
